PLAYERS		STATUS			WK 8			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Chase Ford, Min TE		WA (Wed)			@TB	W 19-13		0/0	0	0	0		0	0	0		6	61	0	6		0	0	0		6
Terrance Williams, Dal WR		RUCK			Wsh	L 17-20		0/0	0	0	0		0	0	0		6	69	0	7		0	0	0		6
Josh Hill, NO TE		WA (Wed)			GB	W 44-23		0/0	0	0	0		0	0	0		1	2	1	1		0	0	0		6
Austin Seferian-Jenkins, TB TE		WA (Wed)			Min	L 13-19		0/0	0	0	0		0	0	0		3	26	1	4		0	1	0		6
Devonta Freeman, Atl RB		WA (Wed)			Det	L 21-22		0/0	0	0	0		3	5	0		1	7	1	1		0	0	0		6
Alfred Blue, Hou RB		WA (Wed)			@Ten	W 30-16		0/0	0	0	0		14	42	0		1	22	0	1		0	0	0		6
Chandler Catanzaro, Ari K		LIND			Phi	W 24-20		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		6
Taylor Gabriel, Cle WR		WA (Wed)			Oak	W 23-13		0/0	0	0	0		0	0	0		2	60	0	3		0	0	0		6
Broncos D/ST D/ST		BALS			SD	W 35-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		6
Lions D/ST D/ST		BOSS			@Atl	W 22-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		6
Andre Johnson, Hou WR  P		DC00			@Ten	W 30-16		0/0	0	0	0		0	0	0		7	55	0	12		0	0	0		5
Malcom Floyd, SD WR		LIND			@Den	L 21-35		0/0	0	0	0		0	0	0		4	58	0	7		0	0	0		5
Darren McFadden, Oak RB		BOSS			@Cle	L 13-23		0/1	0	0	0		12	59	0		4	26	0	6		0	1	0		5
Kenny Britt, StL WR		WA (Wed)			@KC	L 7-34		0/0	0	0	0		0	0	0		2	52	0	5		0	0	0		5
Mike Wallace, Mia WR  P		DC00			@Jac	W 27-13		0/0	0	0	0		0	0	0		2	59	0	7		0	0	0		5
Joique Bell, Det RB  P		GREG			@Atl	W 22-21		0/0	0	0	0		14	39	0		2	22	0	3		0	0	0		5
Julio Jones, Atl WR  P		BOSS			Det	L 21-22		0/0	0	0	0		0	0	0		4	58	0	6		0	0	0		5
Dan Bailey, Dal K		DC00			Wsh	L 17-20		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		5
Kendall Wright, Ten WR		WA (Wed)			Hou	L 16-30		0/0	0	0	0		0	0	0		3	53	0	5		0	0	0		5
Dion Sims, Mia TE		WA (Wed)			@Jac	W 27-13		0/0	0	0	0		0	0	0		2	51	0	2		0	0	0		5
Kenny Stills, NO WR		WA (Wed)			GB	W 44-23		0/0	0	0	0		0	0	0		4	57	0	4		0	0	0		5
Richard Rodgers, GB TE		WA (Wed)			@NO	L 23-44		0/0	0	0	0		0	0	0		4	58	0	5		0	0	0		5
Jace Amaro, NYJ TE		WA (Wed)			Buf	L 23-43		0/0	0	0	0		0	0	0		5	51	0	5		0	0	0		5
Bishop Sankey, Ten RB		Solo			Hou	L 16-30		0/0	0	0	0		9	35	0		4	25	0	4		0	0	0		5
Branden Oliver, SD RB		PERO			@Den	L 21-35		0/0	0	0	0		13	36	0		7	27	0	8		0	0	0		5
Saints D/ST D/ST		WA (Wed)			GB	W 44-23		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		5
Jaguars D/ST D/ST		WA (Wed)			Mia	L 13-27		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		5
Ravens D/ST D/ST		NOMS			@Cin	L 24-27		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		5
Leon Washington, Ten RB		WA (Wed)			Hou	L 16-30		0/0	0	0	0		0	0	0		3	40	0	3		0	0	0		4
Marques Colston, NO WR		WA (Wed)			GB	W 44-23		0/0	0	0	0		0	0	0		4	49	0	5		0	0	0		4
Joe Flacco, Bal QB		CHB			@Cin	L 24-27		17/34	195	0	2		2	12	0		0	0	0	0		0	0	0		4
Harry Douglas, Atl WR  P		WA (Wed)			Det	L 21-22		0/0	0	0	0		0	0	0		3	42	0	5		0	0	0		4
Pierre Garcon, Wsh WR		Solo			@Dal	W 20-17		0/0	0	0	0		0	0	0		4	47	0	4		0	0	0		4
Percy Harvin, NYJ WR		BOSS			Buf	L 23-43		0/0	0	0	0		4	28	0		3	22	0	9		0	0	0		4
Ryan Succop, Ten K		WA (Wed)			Hou	L 16-30		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		4
Anthony Dixon, Buf RB		WA (Wed)			@NYJ	W 43-23		0/0	0	0	0		22	44	0		0	0	0	0		0	0	0		4
Eric Decker, NYJ WR		GREG			Buf	L 23-43		0/0	0	0	0		0	0	0		7	40	0	13		0	0	0		4
Cam Newton, Car QB		NOMS			Sea	L 9-13		12/22/2014	171	0	1		12	24	0		0	0	0	0		0	1	0		4
Shane Vereen, NE RB		BALS			Chi	W 51-23		0/0	0	0	0		5	22	0		3	23	0	5		0	0	0		4
Greg Little*, Cin WR  O		WA (Wed)			Bal	W 27-24		0/0	0	0	0		0	0	0		3	42	0	5		0	0	0		4
Cecil Shorts III, Jac WR		WA (Wed)			Mia	L 13-27		0/0	0	0	0		0	0	0		3	41	0	8		0	0	0		4
Jordan Cameron*, Cle TE  O		Solo			Oak	W 23-13		0/0	0	0	0		0	0	0		3	40	0	5		0	0	0		4
Robert Turbin, Sea RB		WA (Wed)			@Car	W 13-9		0/0	0	0	0		2	10	0		3	32	0	3		0	0	0		4
Travaris Cadet, NO RB  P		WA (Wed)			GB	W 44-23		0/0	0	0	0		1	7	0		4	40	0	5		0	0	0		4
Zach Ertz, Phi TE		LIND			@Ari	L 20-24		0/0	0	0	0		0	0	0		5	48	0	8		0	0	0		4
Travis Kelce, KC TE  P		WA (Wed)			StL	W 34-7		0/0	0	0	0		0	0	0		4	45	0	6		0	0	0		4
Jordan Reed*, Wsh TE  O		LIND			@Dal	W 20-17		0/0	0	0	0		0	0	0		7	40	0	7		0	0	0		4
Corey Fuller, Det WR		WA (Wed)			@Atl	W 22-21		0/0	0	0	0		0	0	0		3	43	0	6		0	0	0		4
Jordan Matthews, Phi WR  P		WA (Wed)			@Ari	L 20-24		0/0	0	0	0		0	0	0		6	47	0	11		0	0	0		4
Jeremy Hill, Cin RB		RUCK			Bal	W 27-24		0/0	0	0	0		10	25	0		4	28	0	4		0	0	0		4
Michael Campanaro*, Bal WR  O		WA (Wed)			@Cin	L 24-27		0/0	0	0	0		0	0	0		3	40	0	3		0	0	0		4
Allen Hurns, Jac WR		WA (Wed)			Mia	L 13-27		0/0	0	0	0		0	0	0		3	49	0	4		0	0	0		4
Brandon McManus, Den K		BOSS			SD	W 35-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		4
