"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"RB","Joseph Randle",3300,"Dal@NYG 08:30PM ET",2.750
"DST","Browns ",3200,"Cle@Atl 01:00PM ET",8.200
"DST","Colts ",3200,"Jax@Ind 01:00PM ET",7.200
"DST","Seahawks ",3200,"Ari@Sea 04:05PM ET",6.200
"WR","Nate Washington",3200,"Ten@Phi 01:00PM ET",6.070
"WR","Harry Douglas",3200,"Cle@Atl 01:00PM ET",7.983
"RB","Chris Johnson",3200,"NYJ@Buf 07:00PM ET",7.560
"TE","Clay Harbor",3200,"Jax@Ind 01:00PM ET",8.314
"WR","Brian Hartline",3200,"Mia@Den 04:25PM ET",6.710
"WR","Stevie Johnson",3200,"Was@SF 04:25PM ET",9.370
"RB","Theo Riddick",3200,"Det@NE 01:00PM ET",7.163
"WR","Allen Hurns",3200,"Jax@Ind 01:00PM ET",11.350
"TE","Jace Amaro",3200,"NYJ@Buf 07:00PM ET",7.510
"DST","Broncos ",3100,"Mia@Den 04:25PM ET",6.200
"DST","49ers ",3100,"Was@SF 04:25PM ET",8.000
"TE","Owen Daniels",3100,"Bal@NO 08:30PM ET",9.756
"TE","Delanie Walker",3100,"Ten@Phi 01:00PM ET",12.911
"TE","Jared Cook",3100,"StL@SD 04:05PM ET",8.460
"RB","Toby Gerhart",3100,"Jax@Ind 01:00PM ET",5.738
"WR","T.J. Graham",3100,"NYJ@Buf 07:00PM ET",2.633
"TE","Tim Wright",3100,"Det@NE 01:00PM ET",6.020
"TE","Zach Ertz",3100,"Ten@Phi 01:00PM ET",8.400
"WR","Davante Adams",3100,"GB@Min 01:00PM ET",7.360
"DST","Texans ",3000,"Cin@Hou 01:00PM ET",10.600
"DST","Cowboys ",3000,"Dal@NYG 08:30PM ET",6.900
"DST","Ravens ",3000,"Bal@NO 08:30PM ET",8.400
"TE","Mike Leach",3000,"Ari@Sea 04:05PM ET",0.000
"WR","Santana Moss",3000,"Was@SF 04:25PM ET",0.000
"RB","Ronnie Brown",3000,"StL@SD 04:05PM ET",1.371
"WR","Brad Smith",3000,"Ten@Phi 01:00PM ET",0.300
"TE","Daniel Fells",3000,"Dal@NYG 08:30PM ET",4.470
"WR","Brandon Lloyd",3000,"Was@SF 04:25PM ET",4.800
"WR","Derek Hagan",3000,"Ten@Phi 01:00PM ET",2.100
"TE","Dante Rosario",3000,"TB@Chi 01:00PM ET",2.000
"RB","Leon Washington",3000,"Ten@Phi 01:00PM ET",2.820
"TE","Vernon Davis",3000,"Was@SF 04:25PM ET",6.000
"TE","Scott Chandler",3000,"NYJ@Buf 07:00PM ET",6.570
"TE","Clark Harris",3000,"Cin@Hou 01:00PM ET",0.000
"RB","Brian Leonard",3000,"Bal@NO 08:30PM ET",2.500
"WR","Devin Hester",3000,"Cle@Atl 01:00PM ET",7.240
"RB","Jackie Battle",3000,"Ten@Phi 01:00PM ET",1.470
"WR","Miles Austin",3000,"Cle@Atl 01:00PM ET",8.780
"WR","Andre Caldwell",3000,"Mia@Den 04:25PM ET",0.970
"WR","Robert Meachem",3000,"Bal@NO 08:30PM ET",1.688
"RB","Tyler Clutts",3000,"Dal@NYG 08:30PM ET",0.110
"TE","Brent Celek",3000,"Ten@Phi 01:00PM ET",4.470
"TE","John Carlson",3000,"Ari@Sea 04:05PM ET",5.440
"WR","Eric Weems",3000,"Cle@Atl 01:00PM ET",1.450
"WR","Kassim Osgood",3000,"Was@SF 04:25PM ET",0.000
"WR","Matthew Slater",3000,"Det@NE 01:00PM ET",0.000
"RB","Frank Summers",3000,"NYJ@Buf 07:00PM ET",1.360
"TE","Benjamin Watson",3000,"Bal@NO 08:30PM ET",2.040
"WR","Josh Morgan",3000,"TB@Chi 01:00PM ET",2.088
"WR","Eddie Royal",3000,"StL@SD 04:05PM ET",10.250
"WR","Ted Ginn Jr.",3000,"Ari@Sea 04:05PM ET",2.480
"TE","Brandon Pettigrew",3000,"Det@NE 01:00PM ET",1.975
"RB","Jerome Felton",3000,"GB@Min 01:00PM ET",0.240
"WR","Danny Amendola",3000,"Det@NE 01:00PM ET",2.650
"TE","Kellen Davis",3000,"Det@NE 01:00PM ET",0.000
"RB","Shonn Greene",3000,"Ten@Phi 01:00PM ET",3.188
"TE","Brandon Myers",3000,"TB@Chi 01:00PM ET",3.300
"WR","Marcus Thigpen",3000,"TB@Chi 01:00PM ET",-0.333
"TE","Darren Fells",3000,"Ari@Sea 04:05PM ET",0.000
"TE","Bear Pascoe",3000,"Cle@Atl 01:00PM ET",0.710
"TE","Kevin Brock",3000,"Cin@Hou 01:00PM ET",0.263
"RB","Cedric Peerman",3000,"Cin@Hou 01:00PM ET",1.000
"RB","Jed Collins",3000,"Det@NE 01:00PM ET",1.460
"TE","Gary Barnidge",3000,"Cle@Atl 01:00PM ET",2.270
"RB","Will Ta'ufo'ou",3000,"Jax@Ind 01:00PM ET",1.120
"TE","Tony Moeaki",3000,"Ari@Sea 04:05PM ET",7.100
"RB","John Kuhn",3000,"GB@Min 01:00PM ET",1.410
"WR","Seyi Ajirotutu",3000,"StL@SD 04:05PM ET",0.210
"WR","Marlon Moore",3000,"Cle@Atl 01:00PM ET",0.000
"RB","James Starks",3000,"GB@Min 01:00PM ET",4.100
"WR","Brandon Tate",3000,"Cin@Hou 01:00PM ET",3.700
"TE","David Johnson",3000,"StL@SD 04:05PM ET",0.156
"RB","Darrel Young",3000,"Was@SF 04:25PM ET",3.440
"WR","Louis Murphy Jr.",3000,"TB@Chi 01:00PM ET",8.171
"RB","Antone Smith",3000,"Cle@Atl 01:00PM ET",7.860
"RB","Donald Brown",3000,"StL@SD 04:05PM ET",5.500
"WR","Brandon Gibson",3000,"Mia@Den 04:25PM ET",3.913
"RB","Alfonso Smith",3000,"Was@SF 04:25PM ET",0
"TE","Chase Coffman",3000,"Ten@Phi 01:00PM ET",2.286
"WR","Chris Williams",3000,"TB@Chi 01:00PM ET",0.743
"TE","Logan Paulsen",3000,"Was@SF 04:25PM ET",1.260
"RB","Jorvorskie Lane",3000,"TB@Chi 01:00PM ET",0.863
"TE","Andrew DePaola",3000,"TB@Chi 01:00PM ET",0.000
"RB","John Conner",3000,"NYJ@Buf 07:00PM ET",0.000
"WR","Kevin Ogletree",3000,"Dal@NYG 08:30PM ET",0.000
"TE","Jim Dray",3000,"Cle@Atl 01:00PM ET",3.700
"RB","Erik Lorig",3000,"Bal@NO 08:30PM ET",1.925
"WR","Kris Durham",3000,"Ten@Phi 01:00PM ET",0
"TE","Virgil Green",3000,"Mia@Den 04:25PM ET",0.586
"TE","John Phillips",3000,"StL@SD 04:05PM ET",0.710
"WR","Hakeem Nicks",3000,"Jax@Ind 01:00PM ET",6.370
"TE","Ryan Taylor",3000,"Cle@Atl 01:00PM ET",0.000
"TE","Richard Gordon",3000,"Ten@Phi 01:00PM ET",0.000
"WR","Preston Parker",3000,"Dal@NYG 08:30PM ET",5.420
"WR","Greg Salas",3000,"NYJ@Buf 07:00PM ET",3.088
"WR","Dwayne Harris",3000,"Dal@NYG 08:30PM ET",1.720
"RB","Bruce Miller",3000,"Was@SF 04:25PM ET",1.010
"RB","Phillip Tanner",3000,"NYJ@Buf 07:00PM ET",0
"TE","Rob Housler",3000,"Ari@Sea 04:05PM ET",1.511
"TE","Kyle Nelson",3000,"Was@SF 04:25PM ET",0.000
"WR","Bryan Walters",3000,"Ari@Sea 04:05PM ET",1.150
"WR","Andre Roberts",3000,"Was@SF 04:25PM ET",6.880
"WR","Jacoby Jones",3000,"Bal@NO 08:30PM ET",1.320
"TE","Lance Kendricks",3000,"StL@SD 04:05PM ET",6.200
"WR","Jeremy Ross",3000,"Det@NE 01:00PM ET",4.190
"RB","Chase Reynolds",3000,"StL@SD 04:05PM ET",0.000
"TE","Jeff Cumberland",3000,"NYJ@Buf 07:00PM ET",3.640
"TE","Michael Hoomanawanui",3000,"Det@NE 01:00PM ET",0.410
"WR","Joseph Morgan",3000,"Bal@NO 08:30PM ET",0.850
"WR","Damian Williams",3000,"StL@SD 04:05PM ET",0.800
"TE","Lee Smith",3000,"NYJ@Buf 07:00PM ET",1.063
"TE","Luke Stocker",3000,"TB@Chi 01:00PM ET",0.663
"RB","Dexter McCluster",3000,"Ten@Phi 01:00PM ET",3.940
"WR","Mike Williams",3000,"NYJ@Buf 07:00PM ET",3.525
"TE","Andrew Quarless",3000,"GB@Min 01:00PM ET",5.500
"RB","James Develin",3000,"Det@NE 01:00PM ET",1.080
"TE","Brett Brackett",3000,"Ten@Phi 01:00PM ET",0.000
"WR","Ryan Broyles",3000,"Det@NE 01:00PM ET",0.900
"WR","Marcus Easley",3000,"NYJ@Buf 07:00PM ET",0.000
"TE","James Casey",3000,"Ten@Phi 01:00PM ET",1.250
"TE","Adrien Robinson",3000,"Dal@NYG 08:30PM ET",0.790
"RB","DuJuan Harris",3000,"GB@Min 01:00PM ET",0.850
"RB","Daniel Herron",3000,"Jax@Ind 01:00PM ET",1.030
"WR","Dane Sanzenbacher",3000,"Cin@Hou 01:00PM ET",2.100
"RB","Henry Hynoski",3000,"Dal@NYG 08:30PM ET",0.070
"WR","Leonard Hankerson",3000,"Was@SF 04:25PM ET",0.000
"TE","Rhett Ellison",3000,"GB@Min 01:00PM ET",2.980
"WR","Nick Toon",3000,"Bal@NO 08:30PM ET",0.000
"WR","Dontrelle Inman",3000,"StL@SD 04:05PM ET",0.000
"WR","Greg Little",3000,"Cin@Hou 01:00PM ET",2.825
"RB","Joe Banyard",3000,"GB@Min 01:00PM ET",0.344
"WR","Jeremy Kerley",3000,"NYJ@Buf 07:00PM ET",5.940
"WR","Kamar Aiken",3000,"Bal@NO 08:30PM ET",3.280
"RB","Robert Hughes",3000,"Ari@Sea 04:05PM ET",1.580
"RB","Travaris Cadet",3000,"Bal@NO 08:30PM ET",6.190
"WR","Mike Brown",3000,"Jax@Ind 01:00PM ET",2.960
"WR","Aldrick Robinson",3000,"Was@SF 04:25PM ET",0.320
"WR","Jeff Maehl",3000,"Ten@Phi 01:00PM ET",1.371
"RB","Will Tukuafu",3000,"Ari@Sea 04:05PM ET",0.000
"RB","Robert Turbin",3000,"Ari@Sea 04:05PM ET",4.180
"RB","Bilal Powell",3000,"NYJ@Buf 07:00PM ET",2.620
"TE","Niles Paul",3000,"Was@SF 04:25PM ET",8.260
"RB","Patrick DiMarco",3000,"Cle@Atl 01:00PM ET",1.800
"TE","Zach Sudfeld",3000,"NYJ@Buf 07:00PM ET",0.250
"TE","James Hanna",3000,"Dal@NYG 08:30PM ET",0.170
"RB","George Winn",3000,"Det@NE 01:00PM ET",1.100
"RB","Chris Polk",3000,"Ten@Phi 01:00PM ET",2.563
"RB","Jacquizz Rodgers",3000,"Cle@Atl 01:00PM ET",4.240
"RB","LaMichael James",3000,"Mia@Den 04:25PM ET",0.000
"WR","Cole Beasley",3000,"Dal@NYG 08:30PM ET",2.930
"RB","Zach Line",3000,"GB@Min 01:00PM ET",0
"WR","Griff Whalen",3000,"Jax@Ind 01:00PM ET",0.330
"TE","Cory Harkey",3000,"StL@SD 04:05PM ET",0.610
"RB","Jonathan Grimes",3000,"Cin@Hou 01:00PM ET",1.180
"TE","Beau Brinkley",3000,"Ten@Phi 01:00PM ET",0.000
"WR","Jaron Brown",3000,"Ari@Sea 04:05PM ET",2.260
"WR","Chris Givens",3000,"StL@SD 04:05PM ET",2.225
"TE","Kevin McDermott",3000,"Bal@NO 08:30PM ET",0.000
"RB","Glenn Winston",3000,"Cle@Atl 01:00PM ET",0.000
