PLAYERS		STATUS			WK 12			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Dan Bailey, Dal K		DC00			@NYG	W 31-28		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Daniel Herron, Ind RB		WA (Wed)			Jac	W 23-3		0/0	0	0	0		12	65	0		5	31	0	5		0	1	0		7
Randy Bullock, Hou K		WA (Wed)			Cin	L 13-22		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Jordan Matthews, Phi WR  P		BOSS			Ten	W 43-24		0/0	0	0	0		0	0	0		6	77	0	8		0	0	0		7
Patrick Murray, TB K		WA (Wed)			@Chi	L 13-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Browns D/ST D/ST		DC00			@Atl	W 26-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Patriots D/ST D/ST		GREG			Det	W 34-9		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Buccaneers D/ST D/ST		WA (Wed)			@Chi	L 13-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Texans D/ST D/ST		PERO			Cin	L 13-22		0/0	0	0	0		0	0	0		0	0	0	0		0	0	1		7
Phil Dawson, SF K		Solo			Wsh	W 17-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		6
Nate Washington, Ten WR		WA (Wed)			@Phi	L 24-43		0/0	0	0	0		0	0	0		4	63	0	6		0	0	0		6
Miles Austin, Cle WR		WA (Wed)			@Atl	W 26-24		0/0	0	0	0		0	0	0		6	64	0	8		0	0	0		6
Chris Johnson, NYJ RB  P		WA (Wed)			@Buf	L 3-38		0/0	0	0	0		7	40	0		3	22	0	4		0	0	0		6
Jordy Nelson, GB WR		RUCK			@Min	W 24-21		0/0	0	0	0		0	0	0		8	68	0	12		0	0	0		6
Ryan Succop, Ten K		WA (Wed)			@Phi	L 24-43		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		6
Eric Decker, NYJ WR		GREG			@Buf	L 3-38		0/0	0	0	0		0	0	0		4	63	0	8		0	0	0		6
Jeremy Kerley, NYJ WR		WA (Wed)			@Buf	L 3-38		0/0	0	0	0		0	0	0		5	66	0	5		0	0	0		6
Adrien Robinson, NYG TE		WA (Wed)			Dal	L 28-31		0/0	0	0	0		0	0	0		1	1	1	1		0	0	0		6
Giovani Bernard, Cin RB		DC00			@Hou	W 22-13		0/0	0	0	0		17	45	0		2	22	0	3		0	0	0		6
Travis Kelce, KC TE		PERO			@Oak	L 20-24		0/0	0	0	0		0	0	0		4	67	0	5		0	0	0		6
Josh Huff, Phi WR		WA (Wed)			Ten	W 43-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	1		6
Terrance West, Cle RB		NOMS			@Atl	W 26-24		0/0	0	0	0		14	62	0		1	9	0	1		0	0	0		6
Richard Rodgers, GB TE		WA (Wed)			@Min	W 24-21		0/0	0	0	0		0	0	0		1	1	1	1		0	0	0		6
John Brown, Ari WR		WA (Wed)			@Sea	L 3-19		0/0	0	0	0		0	0	0		3	61	0	5		0	0	0		6
Alfred Blue, Hou RB		LIND			Cin	L 13-22		0/0	0	0	0		16	46	0		3	20	0	4		0	0	0		6
Brandon McManus, Den K		WA (Wed)			Mia	W 39-36		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		6
Ravens D/ST D/ST		NOMS			@NO	W 34-27		0/0	0	0	0		0	0	0		0	0	0	0		0	0	1		6
Shaun Hill, StL QB		WA (Wed)			@SD	L 24-27		18/35	198	1	2		1	0	0		0	0	0	0		0	1	0		5
Devin Hester, Atl WR		WA (Wed)			Cle	L 24-26		0/0	0	0	0		0	0	0		4	50	0	6		0	0	0		5
Calvin Johnson, Det WR  Q		PERO			@NE	L 9-34		0/0	0	0	0		0	0	0		4	58	0	10		0	0	0		5
Drew Stanton, Ari QB		WA (Wed)			@Sea	L 3-19		14/26	149	0	1		4	23	0		0	0	0	0		0	0	0		5
Eddie Royal, SD WR		WA (Wed)			StL	W 27-24		0/0	0	0	0		0	0	0		6	50	0	6		0	0	0		5
Michael Crabtree, SF WR		BALS			Wsh	W 17-13		0/0	0	0	0		0	0	0		5	58	0	7		0	0	0		5
Jeremy Maclin, Phi WR		PERO			Ten	W 43-24		0/0	0	0	0		0	0	0		6	59	0	8		0	0	0		5
Andrew Quarless, GB TE		WA (Wed)			@Min	W 24-21		0/0	0	0	0		0	0	0		2	50	0	3		0	0	0		5
Shane Vereen, NE RB		BALS			Det	W 34-9		0/0	0	0	0		8	12	0		8	48	0	9		0	0	0		5
Ryan Mallett*, Hou QB  O		WA (Wed)			Cin	L 13-22		21/45	189	0	1		1	2	0		0	0	0	0		0	0	0		5
Randall Cobb, GB WR		GREG			@Min	W 24-21		0/0	0	0	0		0	0	0		4	58	0	5		0	0	0		5
Kyle Rudolph, Min TE		WA (Wed)			GB	L 21-24		0/0	0	0	0		0	0	0		3	50	0	5		0	0	0		5
Andre Holmes, Oak WR		NOMS			KC	W 24-20		0/0	0	0	0		0	0	0		5	55	0	10		0	0	0		5
Lamar Miller, Mia RB  P		NOMS			@Den	L 36-39		0/0	0	0	0		12	59	0		1	8	0	1		0	0	0		5
Greg Zuerlein, StL K		WA (Wed)			@SD	L 24-27		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		5
Andre Ellington, Ari RB  P		RUCK			@Sea	L 3-19		0/0	0	0	0		10	24	0		5	39	0	8		0	0	0		5
Theo Riddick, Det RB		WA (Wed)			@NE	L 9-34		0/0	0	0	0		2	12	0		3	40	0	6		0	0	0		5
Blake Bortles, Jac QB		WA (Wed)			@Ind	L 3-23		15/27	146	0	1		5	24	0		0	0	0	0		0	0	0		5
Carlos Hyde, SF RB		WA (Wed)			Wsh	W 17-13		0/0	0	0	0		7	16	1		0	0	0	0		0	1	0		5
Jerick McKinnon, Min RB		BOSS			GB	L 21-24		0/0	0	0	0		15	54	0		3	9	0	3		0	0	0		5
